step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,0.24093163169278134,0.0,0.0,0.24093163169278134,60000.0,0.25
500,0.003903059968739068,0.0,0.0,0.003903059968739068,60000.0,0.25
1000,0.0011079287891326425,0.0,0.0,0.0011079287891326425,60000.0,0.25
1500,0.0005445876638534665,0.0,0.0,0.0005445876638534665,60000.0,0.25
2000,0.00033720770306597616,0.0,0.0,0.00033720770306597616,60000.0,0.25
2500,0.0002102468532828605,0.0,0.0,0.0002102468532828605,60000.0,0.25
3000,0.0001265739440742618,0.0,0.0,0.0001265739440742618,60000.0,0.25
3500,7.611349288914437e-05,0.0,0.0,7.611349288914437e-05,60000.0,0.25
4000,4.8540359855947245e-05,0.0,0.0,4.8540359855947245e-05,60000.0,0.25
4500,3.29369137956199e-05,0.0,0.0,3.29369137956199e-05,60000.0,0.25
5000,2.2682850900684962e-05,0.0,0.0,2.2682850900684962e-05,60000.0,0.25
5500,1.548764542130777e-05,0.0,0.0,1.548764542130777e-05,60000.0,0.25
6000,1.0744095984955597e-05,0.0,0.0,1.0744095984955597e-05,60000.0,0.25
6500,7.877003831407877e-06,0.0,0.0,7.877003831407877e-06,60000.0,0.25
7000,6.120820945340625e-06,0.0,0.0,6.120820945340625e-06,60000.0,0.25
7500,4.98217016212207e-06,0.0,0.0,4.98217016212207e-06,60000.0,0.25
8000,4.184673863496921e-06,0.0,0.0,4.184673863496921e-06,60000.0,0.25
8500,3.57943631896683e-06,0.0,0.0,3.57943631896683e-06,60000.0,0.25
9000,3.107655004994411e-06,0.0,0.0,3.107655004994411e-06,60000.0,0.25
9500,2.7214975763557054e-06,0.0,0.0,2.7214975763557054e-06,60000.0,0.25
10000,2.412436216974806e-06,0.0,0.0,2.412436216974806e-06,60000.0,0.25
