step,loss,E_pred,nu_pred,grad_E,grad_nu,elapsed_time
0,2108094.5,39999.8984375,0.35000064969062805,103.56560516357422,77485664.0,3.9626224040985107
200,693.9646606445312,39998.9140625,-0.15145528316497803,0.04170164465904236,-607.4977416992188,49.854453802108765
400,310.14886474609375,39998.9140625,-0.14938290417194366,0.02003718726336956,-273.8372802734375,33.59057807922363
600,174.5313262939453,39998.9140625,-0.1479330211877823,0.007729875389486551,-205.64404296875,30.384490489959717
800,122.01212310791016,39998.9140625,-0.14682021737098694,0.0047060055658221245,-40.7349739074707,30.12621235847473
1000,86.74008178710938,39998.9140625,-0.1459551304578781,0.0043040188029408455,-9.581603050231934,29.026240825653076
1200,67.83604431152344,39998.9140625,-0.1452636867761612,0.002134141279384494,-138.81785583496094,27.01147222518921
1400,54.32473373413086,39998.9140625,-0.14471076428890228,0.0022532439325004816,-32.606075286865234,27.309304237365723
1600,45.29002380371094,39998.9140625,-0.14423803985118866,0.002002132125198841,-6.077568054199219,28.223114013671875
1800,37.90378189086914,39998.9140625,-0.14383423328399658,-0.00034392462112009525,66.62881469726562,32.15973901748657
2000,33.87957000732422,39998.9140625,-0.14349345862865448,0.0016133107710629702,-74.90094757080078,31.358638763427734
2200,30.10567855834961,39998.9140625,-0.1431780904531479,0.00046064690104685724,-39.506065368652344,30.582309007644653
2400,28.966829299926758,39998.9140625,-0.1428835391998291,0.00046433063107542694,-82.03834533691406,29.090949535369873
2600,27.797260284423828,39998.9140625,-0.14260447025299072,-0.000803423929028213,-45.42741012573242,29.79141330718994
2800,24.79657745361328,39998.9140625,-0.1423395872116089,0.0006126986700110137,19.298728942871094,30.121538639068604
3000,21.772010803222656,39998.9140625,-0.14209410548210144,0.0010633820202201605,-53.612754821777344,29.557472467422485
3200,19.9224910736084,39998.9140625,-0.14185136556625366,0.0002919314138125628,-62.622283935546875,35.776323556900024
3400,19.35770034790039,39998.9140625,-0.1416201889514923,0.0008977968827821314,6.127424716949463,29.877013206481934
3600,16.251922607421875,39998.9140625,-0.14140932261943817,0.0003728720766957849,-74.0877456665039,28.468383312225342
3800,16.987695693969727,39998.9140625,-0.14120244979858398,0.000817220367025584,-19.916345596313477,28.75277805328369
4000,15.1529541015625,39998.9140625,-0.1409904658794403,-0.0003189409035257995,19.136825561523438,28.594270944595337
