step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,10127049.60502046,1045583.9735221955,9081465.631498264,0.0,49950.00000000125,0.1995
500,2958855.4930201466,277398.49778606003,2681456.9952340866,0.0,28544.072373446616,0.11336570709675978
1000,686937.9049225639,58380.96461902642,628556.9403035375,0.0,13270.699615265628,0.10950464682900879
1500,93961.81407564683,6279.934928339295,87681.87914730754,0.0,4325.38027455734,0.1102303962345945
2000,6746.903895862231,69.347640741439,6677.556255120792,0.0,441.2041499222453,0.11083815184729719
