step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,10335737.255276892,993372.720068303,9342364.535208588,0.0,49950.00000000123,0.1995
500,3031722.42035807,263380.7462843711,2768341.674073699,0.0,28516.000664096926,0.11535245411504233
1000,699875.7836704492,54769.369522988716,645106.4141474605,0.0,13235.468498527885,0.11209305532531856
1500,95305.83107829574,5948.507718024455,89357.32336027129,0.0,4303.825104504256,0.11290439225921829
2000,6769.760301543571,64.21075594439505,6705.549545599176,0.0,436.4191549424554,0.1135241184156786
2500,691.7102337159978,147.0017444409949,544.7084892750029,0.0,-681.1135907674449,0.1133759296902448
3000,527.5001075841346,243.5875797442992,283.91252783983543,0.0,-875.9286584242237,0.11276915033694851
