step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,231611.89267873002,225648.91362608725,5962.79799197552,0.18106066725157652,49999.9999,0.19990000000000002
200,213.40848524771044,193.36596522956947,19.822123194522636,0.22039682361835172,49999.99793569996,0.1976747619900186
400,96.94037652300393,88.33288965813534,8.397795748801226,0.20969111606736668,49999.997806610954,0.19744766638974479
600,55.939395151152986,51.64857800557464,4.089697330907561,0.201119814670784,49999.997715526995,0.19727019692926484
800,39.89595663418797,37.06007315120949,2.6426368590923817,0.193246623886097,49999.9976421809,0.1971180503726045
1000,29.31635377739932,27.440533130552268,1.6899159828698012,0.18590466397725056,49999.9975776592,0.19698549517607625
1200,24.532305701025567,22.64977820741692,1.703601644005978,0.1789258496026721,49999.99751847149,0.19686751947909864
1400,19.817160050971893,18.11921045483333,1.5254311215681375,0.1725184745704265,49999.99746317582,0.1967585379557345
1600,16.980072595176477,15.653193492424274,1.160373852735114,0.1665052500170906,49999.997410317395,0.19666189662708386
1800,13.292496199669882,12.158811480661127,0.9727069015951758,0.16097781741357903,49999.99736056965,0.19657409535267195
2000,11.257984976423007,10.144035455658553,0.9581351083354162,0.15581441242903768,49999.99731307294,0.19649264525831484
2200,10.282918404776245,9.297086663525954,0.8347655398832579,0.1510662013670327,49999.99726753812,0.19641893173101663
2400,8.552972573829859,7.658227017663527,0.7481306461417694,0.14661491002456356,49999.997223249935,0.19634981792500145
2600,7.979451794587316,7.208701008530775,0.6282956043109816,0.14245518174555982,49999.99718038991,0.19628348194080336
2800,6.466070909272962,5.737161379262075,0.590355600894723,0.13855392911616426,49999.9971379474,0.196218670858284
3000,6.180186853418849,5.51547163390914,0.5297477127940446,0.13496750671566474,49999.997095101506,0.1961552300033389
