step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,0.19887295896771776,0.0,0.0,0.19887295896771776,60000.0,0.25
500,0.002437927536389379,0.0,0.0,0.002437927536389379,60000.0,0.25
1000,0.0005878727784547151,0.0,0.0,0.0005878727784547151,60000.0,0.25
1500,0.00029354253986207593,0.0,0.0,0.00029354253986207593,60000.0,0.25
2000,0.0001498944333265784,0.0,0.0,0.0001498944333265784,60000.0,0.25
2500,8.544417847822787e-05,0.0,0.0,8.544417847822787e-05,60000.0,0.25
3000,5.545728496221524e-05,0.0,0.0,5.545728496221524e-05,60000.0,0.25
3500,3.7717603034763514e-05,0.0,0.0,3.7717603034763514e-05,60000.0,0.25
4000,2.6726003281884182e-05,0.0,0.0,2.6726003281884182e-05,60000.0,0.25
4500,1.9883279390319913e-05,0.0,0.0,1.9883279390319913e-05,60000.0,0.25
5000,1.5390759784365482e-05,0.0,0.0,1.5390759784365482e-05,60000.0,0.25
5500,1.2245479594394011e-05,0.0,0.0,1.2245479594394011e-05,60000.0,0.25
6000,1.0040664584019737e-05,0.0,0.0,1.0040664584019737e-05,60000.0,0.25
6500,8.403979759688813e-06,0.0,0.0,8.403979759688813e-06,60000.0,0.25
7000,7.14601369313832e-06,0.0,0.0,7.14601369313832e-06,60000.0,0.25
7500,6.1750973423312274e-06,0.0,0.0,6.1750973423312274e-06,60000.0,0.25
8000,5.393288976891486e-06,0.0,0.0,5.393288976891486e-06,60000.0,0.25
8500,4.756035160160046e-06,0.0,0.0,4.756035160160046e-06,60000.0,0.25
9000,4.370110471473316e-06,0.0,0.0,4.370110471473316e-06,60000.0,0.25
9500,3.8055702344074252e-06,0.0,0.0,3.8055702344074252e-06,60000.0,0.25
10000,3.43656924435194e-06,0.0,0.0,3.43656924435194e-06,60000.0,0.25
10500,3.122521182621129e-06,0.0,0.0,3.122521182621129e-06,60000.0,0.25
11000,2.850581161312439e-06,0.0,0.0,2.850581161312439e-06,60000.0,0.25
11500,2.6170593515775036e-06,0.0,0.0,2.6170593515775036e-06,60000.0,0.25
12000,2.4796490677390584e-06,0.0,0.0,2.4796490677390584e-06,60000.0,0.25
12500,2.2636305041480155e-06,0.0,0.0,2.2636305041480155e-06,60000.0,0.25
13000,2.082950921887724e-06,0.0,0.0,2.082950921887724e-06,60000.0,0.25
13500,1.953030665508027e-06,0.0,0.0,1.953030665508027e-06,60000.0,0.25
14000,1.8333653564091614e-06,0.0,0.0,1.8333653564091614e-06,60000.0,0.25
14500,1.7276738459834257e-06,0.0,0.0,1.7276738459834257e-06,60000.0,0.25
15000,1.6318783162062658e-06,0.0,0.0,1.6318783162062658e-06,60000.0,0.25
