step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,36646935.509893924,3654922.1919080555,97713.59081337339,0.0,59999.9900000001,0.24900000001
500,30773365.690660685,3074191.1220542775,31454.470117911023,0.0,59994.99000005001,0.08191219966092043
1000,30814778.57569096,3078557.034739812,29208.228292838812,0.0,59989.990000099926,0.08288135731898001
1500,29694068.814770192,2966319.27376885,30876.077081692474,0.0,59984.99000014984,0.08466979408275074
2000,30695940.91431123,3066666.267848053,29278.23583070106,0.0,59979.99000019975,0.0835802453859838
2500,32062488.012040712,3202976.1331870006,32726.680170704876,0.0,59974.990000249665,0.08364221543055637
3000,29922575.720740855,2988953.7016891423,33038.70384943018,0.0,59969.99000029958,0.08216355611590408
3500,30361100.60407596,3032854.541512887,32555.188947091545,0.0,59964.99000034949,0.08195149134905315
4000,32997445.34602645,3296512.4964366346,32320.38166010414,0.0,59959.990000399404,0.08476835227596291
4500,28937507.776204083,2890602.1815566956,31485.96063712821,0.0,59954.99000044932,0.08410077765359332
5000,32202449.727661334,3216974.5073073534,32704.654587799447,0.0,59949.99000049923,0.08452105611193023
