step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,0.18106066725157652,0.0,0.0,0.18106066725157652,65000.0,0.27
200,0.003469853103197181,0.0,0.0,0.003469853103197181,65000.0,0.27
400,0.0009053952799362324,0.0,0.0,0.0009053952799362324,65000.0,0.27
600,0.0005153015814790477,0.0,0.0,0.0005153015814790477,65000.0,0.27
800,0.0003518120404675091,0.0,0.0,0.0003518120404675091,65000.0,0.27
1000,0.0002437064587867658,0.0,0.0,0.0002437064587867658,65000.0,0.27
1200,0.00017012131340042114,0.0,0.0,0.00017012131340042114,65000.0,0.27
1400,0.00012044122034755142,0.0,0.0,0.00012044122034755142,65000.0,0.27
1600,8.65028104978654e-05,0.0,0.0,8.65028104978654e-05,65000.0,0.27
1800,6.383617884349777e-05,0.0,0.0,6.383617884349777e-05,65000.0,0.27
2000,4.9315296373295945e-05,0.0,0.0,4.9315296373295945e-05,65000.0,0.27
2200,4.001312460599269e-05,0.0,0.0,4.001312460599269e-05,65000.0,0.27
2400,3.3590487234244015e-05,0.0,0.0,3.3590487234244015e-05,65000.0,0.27
2600,9.876038944174748e-05,0.0,0.0,9.876038944174748e-05,65000.0,0.27
2800,2.5460481584811953e-05,0.0,0.0,2.5460481584811953e-05,65000.0,0.27
3000,2.2744156672907647e-05,0.0,0.0,2.2744156672907647e-05,65000.0,0.27
