step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,237510256.1562066,2765058.7391083012,20985966.87651236,2.2730826362324425e-05,64900.00000000014,0.269
200,82668435.70430452,978540.1392995332,7288303.43113092,2.2730826362324425e-05,48147.216807331235,0.1617002677753211
400,41137652.99548855,462627.445541284,3651137.85400757,2.2730826362324425e-05,34323.68325900482,0.13336905413851904
600,18626670.606408615,201109.3733468182,1661557.6872940431,2.2730826362324425e-05,22865.099363618865,0.12388507478040914
800,7350344.333670845,75242.92421459634,659791.5091524882,2.2730826362324425e-05,14029.244821692811,0.12058485221096904
1000,2474881.7557714097,22951.657317541638,224536.51825959934,2.2730826362324425e-05,7751.908923721207,0.11957913773092387
