step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,0.19887295896771776,0.0,0.0,0.19887295896771776,60000.0,0.25
500,0.002437927536389379,0.0,0.0,0.002437927536389379,60000.0,0.25
1000,0.0005878727784547151,0.0,0.0,0.0005878727784547151,60000.0,0.25
1500,0.00029354253986207593,0.0,0.0,0.00029354253986207593,60000.0,0.25
2000,0.0001498944333265784,0.0,0.0,0.0001498944333265784,60000.0,0.25
2500,8.544417847822787e-05,0.0,0.0,8.544417847822787e-05,60000.0,0.25
3000,5.545728496221524e-05,0.0,0.0,5.545728496221524e-05,60000.0,0.25
3500,3.7717603034763514e-05,0.0,0.0,3.7717603034763514e-05,60000.0,0.25
4000,2.6726003281884182e-05,0.0,0.0,2.6726003281884182e-05,60000.0,0.25
4500,1.9883279390319913e-05,0.0,0.0,1.9883279390319913e-05,60000.0,0.25
5000,1.5390759784365482e-05,0.0,0.0,1.5390759784365482e-05,60000.0,0.25
