step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,18349375.652981773,1862462.9890473727,16486912.663934398,0.0,59800.0000000033,0.249
500,126270.76532080807,9663.075858087952,116607.68946272013,0.0,5111.332856093025,0.14468107979297729
1000,794.0098778129951,216.7471222060207,577.2627556069745,0.0,-780.3502679884697,0.14440927166930456
1500,772.4478035681743,264.0015416102562,508.4462619579181,0.0,-856.7142580207957,0.1440846091348901
2000,780.5072459968396,276.27505854221147,504.2321874546281,0.0,-857.3655566645606,0.14362795234964135
