iteration,step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,0,449248.0547547256,449248.0547547256,7739.471839187358,0.24634841900792523,59500.000000333894,0.249
0,500,71.58494008233914,71.58494008233914,3136.7124940245967,0.29027294952180865,49338.336108723284,0.23129328765836957
1,0,56.38045514476445,56.38045514476445,2962.9434141786373,0.41881478123833193,48645.92495661029,0.23005096728803864
1,500,8.454613504008675,8.454613504008675,2899.2062790213763,0.4201344361572138,36140.44513955192,0.20888004172452151
2,0,5.690386498864569,5.690386498864569,2968.068724997514,0.7699854196587352,35015.67401798648,0.20717578658328212
2,500,1.6757684124206143,1.6757684124206143,3138.5739126506874,0.7713098568056658,23743.767820854195,0.1879996628728836
