iteration,step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,0,72860.85362977715,35820.49665751459,7407.5368229992855,0.26728572661216254,59500.00000285638,0.24900000000000005
0,500,183.93497933247036,168.48267637775385,2.5139854685598553,0.28823756119172395,30519.174099558535,0.1467078012617159
1,0,190.3824913038911,166.80831866432123,2.665070096679154,1.0248822156174084,30019.17587835618,0.14570780126172414
1,500,19.15385599176937,8.743194598838732,0.3098895645108371,0.886121357037645,11241.219398753488,0.04527482852857351
2,0,77.9541259167529,8.914438570170086,0.35267832527909426,6.727629572018734,11741.219009891229,0.044274828528647094
2,500,64.63476559821694,4.314923637343534,0.25750937623820935,5.903229507968236,9780.556814728376,0.01437500337843891
3,0,85.0162935874637,4.507290145153598,0.22428638761395533,7.938757150424031,10280.552592847815,0.013375003381716365
3,500,74.25747888164994,2.76940077654507,0.44161676607857164,6.927999427471202,8696.230504060079,-0.03655359899163953
4,0,95.37183492709951,3.1615600249934666,0.4637237628181998,8.989165608801505,9196.229368318367,-0.037553598991517695
4,500,87.24544503765128,2.953453904429256,0.88940998107649,7.984494122783959,7871.539276825251,-0.04549680861463196
