step,total_loss,loss_pde,loss_bc,loss_data,E_pred,nu_pred
0,23161.35222247353,225648.91362608725,5962.79799197552,0.18106066725157652,49999.9999,0.19990000000000002
500,7.473361075357528,66.4906405483568,6.203096496631914,0.20398737085865679,49999.997758148034,0.19735400412502918
1000,3.0941906937734354,27.42462583554927,1.6963812907788953,0.18208998114061856,49999.99757802968,0.1969848715307707
1500,1.8875752726931403,15.920104358206371,1.3283742196530555,0.16272741490719744,49999.9974369106,0.19670791922100272
2000,1.2555184058947644,10.125535492529433,0.9692130250469623,0.1460435541371247,49999.99731407601,0.1964909666016903
